Serial,Course,Course Code,Subject,Max Marks,Min Marks,Semester,Academic Year,Year
1,BACHELOR OF ARTS (ECONOMICS),BAECO-101,Introductory Microeconomics,100,40,1st Semester,,
2,BACHELOR OF ARTS (ECONOMICS),BAECO-102,Mathematical Methods for Economics - I,100,40,1st Semester,,
3,BACHELOR OF ARTS (ECONOMICS),BAECO-103,Environmental Studies,100,40,1st Semester,,
4,BACHELOR OF ARTS (ECONOMICS),BAECO-104,English Communication,100,40,1st Semester,,
5,BACHELOR OF ARTS (ECONOMICS),BAECO-201,Introductory Macroeconomics,100,40,2nd Semester,,
6,BACHELOR OF ARTS (ECONOMICS),BAECO-202,Mathematical Methods for Economics - II,100,40,2nd Semester,,
7,BACHELOR OF ARTS (ECONOMICS),BAECO-203,Statistical Methods for Economics,100,40,2nd Semester,,
8,BACHELOR OF ARTS (ECONOMICS),BAECO-204,Indian Economic History,100,40,2nd Semester,,
9,BACHELOR OF ARTS (ECONOMICS),BAECO-301,Intermediate Microeconomics - I,100,40,3rd Semester,,
10,BACHELOR OF ARTS (ECONOMICS),BAECO-302,Intermediate Macroeconomics - I,100,40,3rd Semester,,
11,BACHELOR OF ARTS (ECONOMICS),BAECO-303,Economic Statistics & Econometrics Basics,100,40,3rd Semester,,
12,BACHELOR OF ARTS (ECONOMICS),BAECO-304,Public Economics & Finance,100,40,3rd Semester,,
13,BACHELOR OF ARTS (ECONOMICS),BAECO-401,Intermediate Microeconomics - II,100,40,4th Semester,,
14,BACHELOR OF ARTS (ECONOMICS),BAECO-402,Intermediate Macroeconomics - II,100,40,4th Semester,,
15,BACHELOR OF ARTS (ECONOMICS),BAECO-403,Indian Economy - I (Structure & Problems),100,40,4th Semester,,
16,BACHELOR OF ARTS (ECONOMICS),BAECO-404,Money & Banking,100,40,4th Semester,,
17,BACHELOR OF ARTS (ECONOMICS),BAECO-501,Indian Economy - II (Policies & Growth),100,40,5th Semester,,
18,BACHELOR OF ARTS (ECONOMICS),BAECO-502,Development Economics,100,40,5th Semester,,
19,BACHELOR OF ARTS (ECONOMICS),BAECO-503,International Economics,100,40,5th Semester,,
20,BACHELOR OF ARTS (ECONOMICS),BAECO-504,Applied Econometrics,100,40,5th Semester,,
21,BACHELOR OF ARTS (ECONOMICS),BAECO-601,Environmental Economics,100,40,6th Semester,,
22,BACHELOR OF ARTS (ECONOMICS),BAECO-602,Financial Economics & Markets,100,40,6th Semester,,
23,BACHELOR OF ARTS (ECONOMICS),BAECO-603,Research Methodology & Dissertation,100,40,6th Semester,,
24,BACHELOR OF ARTS (ECONOMICS),BAECO-604,Agricultural & Rural Economics,100,40,6th Semester,,
