Serial,Course,Course Code,Subject,Max Marks,Min Marks,Semester,Academic Year,Year
1,BACHELOR OF ARTS (ENGLISH),BAENG-101,Introduction to English Literature & Poetry,100,40,1st Semester,,
2,BACHELOR OF ARTS (ENGLISH),BAENG-102,English Prose & Fiction,100,40,1st Semester,,
3,BACHELOR OF ARTS (ENGLISH),BAENG-103,Environmental Studies,100,40,1st Semester,,
4,BACHELOR OF ARTS (ENGLISH),BAENG-104,Communicative English & Phonetics,100,40,1st Semester,,
5,BACHELOR OF ARTS (ENGLISH),BAENG-201,British Poetry & Drama (14th to 17th Century),100,40,2nd Semester,,
6,BACHELOR OF ARTS (ENGLISH),BAENG-202,Indian Classical Literature in Translation,100,40,2nd Semester,,
7,BACHELOR OF ARTS (ENGLISH),BAENG-203,History of English Language,100,40,2nd Semester,,
8,BACHELOR OF ARTS (ENGLISH),BAENG-204,Academic Writing & Composition,100,40,2nd Semester,,
9,BACHELOR OF ARTS (ENGLISH),BAENG-301,British Literature (18th Century & Romantic),100,40,3rd Semester,,
10,BACHELOR OF ARTS (ENGLISH),BAENG-302,Indian Writing in English - I,100,40,3rd Semester,,
11,BACHELOR OF ARTS (ENGLISH),BAENG-303,Linguistics & English Grammar,100,40,3rd Semester,,
12,BACHELOR OF ARTS (ENGLISH),BAENG-304,Creative Writing,100,40,3rd Semester,,
13,BACHELOR OF ARTS (ENGLISH),BAENG-401,Victorian Literature & Modern Novel,100,40,4th Semester,,
14,BACHELOR OF ARTS (ENGLISH),BAENG-402,Indian Writing in English - II,100,40,4th Semester,,
15,BACHELOR OF ARTS (ENGLISH),BAENG-403,Literary Criticism & Theory - I,100,40,4th Semester,,
16,BACHELOR OF ARTS (ENGLISH),BAENG-404,English for Media & Communication,100,40,4th Semester,,
17,BACHELOR OF ARTS (ENGLISH),BAENG-501,20th Century British & World Literature,100,40,5th Semester,,
18,BACHELOR OF ARTS (ENGLISH),BAENG-502,American Literature,100,40,5th Semester,,
19,BACHELOR OF ARTS (ENGLISH),BAENG-503,Postcolonial Literature & Translation Studies,100,40,5th Semester,,
20,BACHELOR OF ARTS (ENGLISH),BAENG-504,Literary Theory & Cultural Studies,100,40,5th Semester,,
21,BACHELOR OF ARTS (ENGLISH),BAENG-601,Modern European Drama,100,40,6th Semester,,
22,BACHELOR OF ARTS (ENGLISH),BAENG-602,Women's Writing & Gender Studies,100,40,6th Semester,,
23,BACHELOR OF ARTS (ENGLISH),BAENG-603,Research Methodology & Project,100,40,6th Semester,,
24,BACHELOR OF ARTS (ENGLISH),BAENG-604,Contemporary Indian Literature,100,40,6th Semester,,
