Serial,Course,Course Code,Subject,Max Marks,Min Marks,Semester,Academic Year,Year
1,BACHELOR OF ARTS (GENERAL),BAGEN-101,English Literature- I,110,44,1st Semester,,
2,BACHELOR OF ARTS (GENERAL),BAGEN-102,Environmental Studies,110,44,1st Semester,,
3,BACHELOR OF ARTS (GENERAL),BAGEN-103,Public Administration-I (Element of Public Administartion),110,44,1st Semester,,
4,BACHELOR OF ARTS (GENERAL),BAGEN-104,Economics,110,44,1st Semester,,
5,BACHELOR OF ARTS (GENERAL),BAGEN-201,Introduction to Mass Media,110,44,2nd Semester,,
6,BACHELOR OF ARTS (GENERAL),BAGEN-202,Political Science-I(Indian Govt. and Politics),110,44,2nd Semester,,
7,BACHELOR OF ARTS (GENERAL),BAGEN-203,History-I (History of Indian form Earliest to 1256 Ad 361),110,44,2nd Semester,,
8,BACHELOR OF ARTS (GENERAL),BAGEN-204,Sociology-I (Introduction to Sociology),110,44,2nd Semester,,
9,BACHELOR OF ARTS (GENERAL),BAGEN-301,English - II,110,44,3rd Semester,,
10,BACHELOR OF ARTS (GENERAL),BAGEN-302,Hindi General,110,44,3rd Semester,,
11,BACHELOR OF ARTS (GENERAL),BAGEN-303,Public Administration-II (Constitutional & Administrative Aspect of HP),110,44,3rd Semester,,
12,BACHELOR OF ARTS (GENERAL),BAGEN-304,Economics-II,110,44,3rd Semester,,
13,BACHELOR OF ARTS (GENERAL),BAGEN-401,Communication Tools,110,44,4th Semester,,
14,BACHELOR OF ARTS (GENERAL),BAGEN-402,Political Science-II (Political Theory),110,44,4th Semester,,
15,BACHELOR OF ARTS (GENERAL),BAGEN-403,History-II History of India(1526-1857 A.D.),110,44,4th Semester,,
16,BACHELOR OF ARTS (GENERAL),BAGEN-404,Sociology-II (Research Mythology),110,44,4th Semester,,
17,BACHELOR OF ARTS (GENERAL),BAGEN-501,English - III,110,44,5th Semester,,
18,BACHELOR OF ARTS (GENERAL),BAGEN-502,Public Administration-III (Local Government),110,44,5th Semester,,
19,BACHELOR OF ARTS (GENERAL),BAGEN-503,Economics-III,110,44,5th Semester,,
20,BACHELOR OF ARTS (GENERAL),BAGEN-504,Mathematics (Analysis),110,44,5th Semester,,
21,BACHELOR OF ARTS (GENERAL),BAGEN-601,Media Writing ,110,44,6th Semester,,
22,BACHELOR OF ARTS (GENERAL),BAGEN-602,Political Science-III (Comparative Govt. & Policies),110,44,6th Semester,,
23,BACHELOR OF ARTS (GENERAL),BAGEN-603,History-III (Modern World),110,44,6th Semester,,
24,BACHELOR OF ARTS (GENERAL),BAGEN-604,Sociology-III (Population and Society),110,44,6th Semester,,
