Serial,Course,Course Code,Subject,Max Marks,Min Marks,Semester,Academic Year,Year
1,BACHELOR OF EDUCATION (HISTORY),BED-101,CHILDHOOD & GROWING UP,110,44,1st Semester,,
2,BACHELOR OF EDUCATION (HISTORY),BED-102,EDUCATION IN CONTEMPORARY INDIA,110,44,1st Semester,,
3,BACHELOR OF EDUCATION (HISTORY),BED-103,LANGUAGE ACROSS THE CURRICULUM,110,44,1st Semester,,
4,BACHELOR OF EDUCATION (HISTORY),BED-104,PEDAGOGY OF SCHOOL SUBJECT - ENGLISH,110,44,1st Semester,,
5,BACHELOR OF EDUCATION (HISTORY),BED-105,PEDAGOGY OF HISTORY,110,44,1st Semester,,
6,BACHELOR OF EDUCATION (HISTORY),BED-106,UNDERSTANDING ICT AND ITS APPLICATION,110,44,1st Semester,,
7,BACHELOR OF EDUCATION (HISTORY),BED-107,SCHOOL EXPOSURE,110,44,1st Semester,,
8,BACHELOR OF EDUCATION (HISTORY),BED-108,FIELD ENGAGEMENT,110,44,1st Semester,,
9,BACHELOR OF EDUCATION (HISTORY),BED-201,LEARNING AND TEACHING,110,44,2nd Semester,,
10,BACHELOR OF EDUCATION (HISTORY),BED-202,PEDAGOGY OF SCHOOL SUBJECT - ENGLISH,110,44,2nd Semester,,
11,BACHELOR OF EDUCATION (HISTORY),BED-203,PEDAGOGY OF HISTORY,110,44,2nd Semester,,
12,BACHELOR OF EDUCATION (HISTORY),BED-204,KNOWLEDGE AND CURRICULUM,110,44,2nd Semester,,
13,BACHELOR OF EDUCATION (HISTORY),BED-205,ASSESSMENT FOR LEARNING,110,44,2nd Semester,,
14,BACHELOR OF EDUCATION (HISTORY),BED-206,SCHOOL ATACHMENT,110,44,2nd Semester,,
15,BACHELOR OF EDUCATION (HISTORY),BED-207,COMMUNITY LIVING CAMP,110,44,2nd Semester,,
16,BACHELOR OF EDUCATION (HISTORY),BED-208,FIELD ENGAGEMENT,110,44,2nd Semester,,
17,BACHELOR OF EDUCATION (HISTORY),BED-301,PRE INTERNSHIP,110,44,3rd Semester,,
18,BACHELOR OF EDUCATION (HISTORY),BED-302,INTERNSHIP,110,44,3rd Semester,,
19,BACHELOR OF EDUCATION (HISTORY),BED-303,FIELD ENGAGEMENT,110,44,3rd Semester,,
20,BACHELOR OF EDUCATION (HISTORY),BED-401,POST INTERNSHIP ,110,44,4th Semester,,
21,BACHELOR OF EDUCATION (HISTORY),BED-402,"GENDER, SCHOOL AND SOCIETY",110,44,4th Semester,,
22,BACHELOR OF EDUCATION (HISTORY),BED-403,READING AND REFLECTING ON TEXTS,110,44,4th Semester,,
23,BACHELOR OF EDUCATION (HISTORY),BED-404,ARTS IN EDUCATION,110,44,4th Semester,,
24,BACHELOR OF EDUCATION (HISTORY),BED-405,UNDERSTANDING THE SELF,110,44,4th Semester,,
25,BACHELOR OF EDUCATION (HISTORY),BED-406,CREATING AND INCLUSIVE SCHOOL,110,44,4th Semester,,
26,BACHELOR OF EDUCATION (HISTORY),BED-407,"HEALTH, YOGA, AND PHYSICAL EDUCATION",110,44,4th Semester,,
27,BACHELOR OF EDUCATION (HISTORY),BED-408,FIELD ENGAGEMENT,110,44,4th Semester,,
