Serial,Course,Course Code,Subject,Max Marks,Min Marks,Semester,Academic Year,Year
1,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM101,Engineering Ethics,110,44,1st Semester,,
2,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM102,Communication & Writing Skills,110,44,1st Semester,,
3,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM103,Calculus for Engineers,110,44,1st Semester,,
4,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM104,Computer Programming using C,110,44,1st Semester,,
5,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM105,Basic Electrical & Electronics Engineering,110,44,1st Semester,,
6,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM106,Elements of Mechanical Engineering,110,44,1st Semester,,
7,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM107,Design Thinking - The Way to Joy of Engineering,110,44,1st Semester,,
8,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM201,Energy Harvesting and Storage,110,44,2nd Semester,,
9,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM202,Materials Science,110,44,2nd Semester,,
10,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM203,Python Programming,110,44,2nd Semester,,
11,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM204,Probability and Statistics,110,44,2nd Semester,,
12,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM205,Computational Materials Science,110,44,2nd Semester,,
13,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM206,Surface Engineering ,110,44,2nd Semester,,
14,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM207,Environmental Science and Sustainability,110,44,2nd Semester,,
15,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM208,Joy of Engineering,110,44,2nd Semester,,
16,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM301,Innovation & Entrepreneurship,110,44,3rd Semester,,
17,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM302,Linear Algebra and Differential Equations,110,44,3rd Semester,,
18,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM303,Introduction to Robotics & loT,110,44,3rd Semester,,
19,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM304,Data Analytics using Python,110,44,3rd Semester,,
20,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM305,Engineering Thermodynamics,110,44,3rd Semester,,
21,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM306,Student to pick any 1 course from corresponding basket,110,44,3rd Semester,,
22,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM307,Engineering Materials,110,44,3rd Semester,,
23,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM401,Entrepreneurship,110,44,4th Semester,,
24,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM402,Computational Mathematics,110,44,4th Semester,,
25,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM403,Casting and welding of Metals,110,44,4th Semester,,
26,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM404,Computer Aided Design & Manufacturing,110,44,4th Semester,,
27,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM405,Fluid Mechanics and Hydraulic Machines,110,44,4th Semester,,
28,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM406,Applied Engineering Thermodynamics,110,44,4th Semester,,
29,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM407,Mechanics of Solids,110,44,4th Semester,,
30,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM501,Materials Science and Engineering,110,44,5th Semester,,
31,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM502,Metal Cutting and Forming,110,44,5th Semester,,
32,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM503,Quality Control Assurance & Reliability,110,44,5th Semester,,
33,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM504,Kinematic & Dynamics of Machine,110,44,5th Semester,,
34,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM505,IC Engines & Automobile Engineering,110,44,5th Semester,,
35,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM506,Core Elective-1 (Specialisation specific),110,44,5th Semester,,
36,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM507,Project -1,110,44,5th Semester,,
37,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM508,Mechanics of Solids,110,44,5th Semester,,
38,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM601,Logical Reasoning & Quantitative Analysis,110,44,6th Semester,,
39,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM602,Project -2,110,44,6th Semester,,
40,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM603,Heat & Mass Transfer,110,44,6th Semester,,
41,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM604,Machine Design,110,44,6th Semester,,
42,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM605,Micro and Nano Systems,110,44,6th Semester,,
43,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM606,Applications of Nanotechnology,110,44,6th Semester,,
44,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM607,Computational Materials Science ,110,44,6th Semester,,
45,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM701,Metrology and Measurements,110,44,7th Semester,,
46,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM702,Industrial Engineering,110,44,7th Semester,,
47,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM703,Advanced Manufacturing Processes,110,44,7th Semester,,
48,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM704,Refrigeration and Air conditioning,110,44,7th Semester,,
49,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM705,Core Elective 4(Specialisation specifi,110,44,7th Semester,,
50,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM706,Nanometrology,110,44,7th Semester,,
51,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM707,Nanomaterial Characterization,110,44,7th Semester,,
52,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM801,Synthesis and Fabrication of Nano Materials,110,44,8th Semester,,
53,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM802,Minor Thesis in Nanotechnology ,110,44,8th Semester,,
54,BACHELOR OF TECHNOLOGY IN MECHANICAL ,BTEM803,Practice School,110,44,8th Semester,,
