Serial,Course,Course Code,Subject,Max Marks,Min Marks,Semester,Academic Year,Year
1,MASTER OF SCIENCE (CHEMISTRY),MSCC-101,INORGANIC CHEMISTRY-I,100,40,1st Semester,,
2,MASTER OF SCIENCE (CHEMISTRY),MSCC-102,ORGANIC CHEMISTRY-I,100,40,1st Semester,,
3,MASTER OF SCIENCE (CHEMISTRY),MSCC-103,PHYSICAL CHEMISTRY-I,100,40,1st Semester,,
4,MASTER OF SCIENCE (CHEMISTRY),MSCC-104,INTRUMENTAL METHODS OF ANALYSIS,100,40,1st Semester,,
5,MASTER OF SCIENCE (CHEMISTRY),MSCC-105,INORGANIC PRACTICAL - I,100,40,1st Semester,,
6,MASTER OF SCIENCE (CHEMISTRY),MSCC-106,ORGANIC PRACTICAL-I,100,40,1st Semester,,
7,MASTER OF SCIENCE (CHEMISTRY),MSCC-108,INORGANIC CHEMISTRY-II,100,40,2nd Semester,,
8,MASTER OF SCIENCE (CHEMISTRY),MSCC-201,ORGANIC CHEMISTRY-II,100,40,2nd Semester,,
9,MASTER OF SCIENCE (CHEMISTRY),MSCC-202,PHYSICAL CHEMISTRY-II,100,40,2nd Semester,,
10,MASTER OF SCIENCE (CHEMISTRY),MSCC-203,ATOMIC & MOLECULAR SPECTROSCOPY,100,40,2nd Semester,,
11,MASTER OF SCIENCE (CHEMISTRY),MSCC-204,INORGANIC PRACTICAL-II,100,40,2nd Semester,,
12,MASTER OF SCIENCE (CHEMISTRY),MSCC-205,ORGANIC PRACTICAL-II,100,40,2nd Semester,,
13,MASTER OF SCIENCE (CHEMISTRY),MSCC-207,INORGANIC CHEMISTRY-III,100,40,3rd Semester,,
14,MASTER OF SCIENCE (CHEMISTRY),MSCC-208,ORGANIC CHEMISTRY-III,100,40,3rd Semester,,
15,MASTER OF SCIENCE (CHEMISTRY),MSCC-301,PHYSICAL CHEMISTRY-III,100,40,3rd Semester,,
16,MASTER OF SCIENCE (CHEMISTRY),MSCC-302,ANALYTICAL TECHNIQUES IN ORGANIC CHEMISTRY,100,40,3rd Semester,,
17,MASTER OF SCIENCE (CHEMISTRY),MSCC-303,PHYSICAL CHEMISTRY PRACTICAL ,100,40,3rd Semester,,
18,MASTER OF SCIENCE (CHEMISTRY),MSCC-401,COMPUTATIONAL CHEMISTRY PRACTICAL ,100,40,3rd Semester,,
19,MASTER OF SCIENCE (CHEMISTRY),MSCC-403,ADVANCED ORGANOMETALLIC CHEMISTRY ,100,40,4th Semester,,
20,MASTER OF SCIENCE (CHEMISTRY),MSCC-404,ADVANCED ORGANIC SYNTHESIS ,100,40,4th Semester,,
21,MASTER OF SCIENCE (CHEMISTRY),MSCC-405,SUPRAMOLECULAR CHEMISTRY ,100,40,4th Semester,,
22,MASTER OF SCIENCE (CHEMISTRY),MSCC-406,PROJECT,100,40,4th Semester,,
23,MASTER OF SCIENCE (CHEMISTRY),MSCC-407,COMPREHENSIVE VIVA ,100,40,4th Semester,,
24,MASTER OF SCIENCE (CHEMISTRY),MSCC-408,SEMINAR ,100,40,4th Semester,,
